Comune,Provincia,Regione,Nome,Anno inserimento,OpenStreetMap ID,Longitudine,Latitudine
Torino,TORINO,Piemonte,Ingegneria dell'Autoveicolo,2011,1172116313,7.667541,45.034275
Bari,BARI,Puglia,Accademia di Belle Arti di Bari,2014,1197995049,16.876371,41.111131
Macerata,MACERATA,Marche,Dipartimento di Lettere e Filosofia,2013,1206763372,13.449044,43.300963
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Architettura,2012,1234669427,11.622237,44.828193
Roma,ROMA,Lazio,Facoltà di Medicina,2011,1241426475,12.633913,41.856564
Roma,ROMA,Lazio,Ortopedia,2011,1245949878,12.51281,41.902065
Ferrara,FERRARA,Emilia-Romagna,Dipartimento di Fisica e Scienze della Terra,2012,1251277284,11.621479,44.841908
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Economia,2012,1251278730,11.622304,44.835436
Ferrara,FERRARA,Emilia-Romagna,Facoltà di Giurisprudenza,2012,1251278963,11.622176,44.844976
Roma,ROMA,Lazio,Genetica,2011,1264866004,12.516564,41.902664
Roma,ROMA,Lazio,Botanica,2011,1264866005,12.517539,41.902777
Roma,ROMA,Lazio,Fisiologia Generale,2011,1265207809,12.516288,41.904061
Firenze,FIRENZE,Toscana,Florence Design Academy,2013,1283599989,11.255589,43.773821
Rieti,RIETI,Lazio,Sabina Universitas,2015,1298268496,12.860328,42.402686
Bolzano,BOLZANO,Trentino-Alto Adige,UniBz Language Center,2015,1408964424,11.349719,46.496492
Pisa,PISA,Toscana,Facoltà di Economia,2014,1419100971,10.410427,43.711166
Padova,PADOVA,Veneto,Centro diritti umani - Università di Padova,2011,1452345270,11.875911,45.410018
Padova,PADOVA,Veneto,Accademia Galileiana di Scienze Lettere e Arti,2011,1459283521,11.870864,45.407358
Padova,PADOVA,Veneto,Centro Multimediale d'Ateneo,2014,1473145492,11.876822,45.403672
Verona,VERONA,Veneto,Accademia di Belle Arti Cignaroli,2012,1502679103,10.992861,45.434839
Verona,VERONA,Veneto,Facoltà di Giurisprudenza,2012,1502679144,10.992444,45.434344
Foggia,FOGGIA,Puglia,Università degli Studi di Foggia - Facoltà di Informatica,2011,1534266061,15.520024,41.45147
Pavia,PAVIA,Lombardia,Facoltà di Economia,2011,1539896375,9.152269,45.188003
Pavia,PAVIA,Lombardia,Facoltà di Filosofia,2011,1539896378,9.151239,45.188392
Pavia,PAVIA,Lombardia,Facoltà di Lettere e Filosofia,2013,1539897724,9.156212,45.184574
Verona,VERONA,Veneto,Facoltà di Scienze Motorie,2013,1565502624,11.031674,45.445008
Pordenone,PORDENONE,Friuli-Venezia Giulia,Consorzio universitario di Pordenone,2012,1590158574,12.680692,45.952534
Bologna,BOLOGNA,Emilia-Romagna,Via Mario Fantin,2012,1617000773,11.328267,44.51332
Trieste,TRIESTE,Friuli-Venezia Giulia,Università degli Studi di Trieste - Facoltà di Ingegneria,2012,1620381487,13.774783,45.657114
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Fisica,2014,1622295901,11.357289,44.501298
Bologna,BOLOGNA,Emilia-Romagna,Facoltà di Scienze Politiche,2014,1625924206,11.353801,44.490997
Bologna,BOLOGNA,Emilia-Romagna,CUSB - Centro Universitario Sportivo Bologna,2013,1627376986,11.355438,44.496215
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento Medicina e Chirurgia,2013,1627376991,11.355208,44.496773
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Chimica,2015,1627376995,11.353931,44.496245
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Chimica,2012,1627376999,11.355904,44.496123
Bologna,BOLOGNA,Emilia-Romagna,Università di Bologna - Dipartimento di Geologia,2015,1627377003,11.35574,44.497607
